nombre,url,direccion,ciudad,provincia,telefono,productos
Cannava,https://ar.prvademecum.com/laboratorio/cannava-1014/,Finca El Pongo-Ruta Pcial. N°1 Lote 570,Palpalá,JUJUY,,
Natural Life,https://ar.prvademecum.com/laboratorio/natural-life-435/,Av. San Martín 3033 /35,,Capital federal,4581-3940 / 2909,
Novartis,https://ar.prvademecum.com/laboratorio/novartis-469/,Ramallo 1851,Capital,,4703-7000,AFINITOR; AIMOVIG; AZARGA; AZOPT; CERTICAN; COSENTYX; DESFERAL; DUOTRAV; FABHALTA; FEMARA; FLAREX; GILENYA; GLIVEC; ILARIS; ISOPTO CARPINA 2%
Teva Argentina,https://ar.prvademecum.com/laboratorio/teva-argentina-15/,J.J.Castelli 6701,Munro,Bs. As.,4721-8100 (Líneas rotativas),AJOVY; ARENDAL 70; ARTOMEY; ARTOMEY DUO; ARTOMEY PLUS; ASTRODIL; ATEMPERATOR; AURENE; AXUAL; AXUAL 75 DIVIDOSIS; AZATEVA; AZILECT; BCG CULTIVO AJV; BEZALIP RETARD; BILECO
Valmax,https://ar.prvademecum.com/laboratorio/valmax-592/,Sub Oficial Perdomo 1619,Ituzaingó,Bs. As.,4621-1960/6910,BETAVALMAX; CLORHYP ATOM; IBUPROFENO VALMAX; IPRASALB; METOC; RADINA; RADINA DEX; SALBUNEB; VALMAFILO; VALMAX LAGRIMAS; VALMAX OJOS ROJOS; VALMEXINA
Cinetic,https://ar.prvademecum.com/laboratorio/cinetic-572/,Av. Triunvirato 2734/6,Capital,,4552-6260,
Lepetit,https://ar.prvademecum.com/laboratorio/lepetit-174/,Saladillo 2452 /2468,,Capital federal,4687-1051/1614/1553/1655/1481,ACIMED; ACIMED L; AXILEP; BIPROSOL; CIPROMED; CLONALEP; CLOPILEP; COTRIMOX; COTRIMOX FORTE; DESCANIL / ZOPICLONA 7.5MG; DIMENA; DIURAL; ELEVOPRAM; ENATRAL; ENATRAL D
Lersan,https://ar.prvademecum.com/laboratorio/lersan-175/,Saladillo 2452 Piso 3,Capital,,4687-2554/2559,DERMEXANE; DERMEXANE CAPILAR; MAXAIR; MAXIVENT; MICOPIROX; MICOPIROX LACA; OTEX HC; OTEX L; TIMODER HYDROGEL; VERRUFREE; VERRUPLANT; VETALONE
Kemex S.A.,https://ar.prvademecum.com/laboratorio/kemex-944/,Nazarre 3446,Villa del Parque,Capital federal,011-4138-1000,ANASTROZOL KEMEX; AZAMEX; BENDEL; BICALUTAMIDA KEMEX; BODABINA; BODACLER; BORTMEX; BUSULTEK; CARBOPLATINO KEMEX; CATZEN; CICLOFOSFAMIDA KEMEX 1000MG; CICLOFOSFAMIDA KEMEX 200MG; CISPLATINO KEMEX; CITARABINA KEMEX; DACARBAZINA KEMEX
Drog Disprhoba,https://ar.prvademecum.com/laboratorio/drog-disprhoba-836/,Montevideo 176,Capital,,5031-7800 /4374-3305,
Millet,https://ar.prvademecum.com/laboratorio/millet-871/,Fray J. Sarmiento 2350,Olivos,Bs. As.,4837-2900,102 +50; 102 FOCUS; 102 MAGNESIO; 102 MAGNESIO CITRATO; 102 MAGNESIO GUMMIES; 102 MUJER; 102 PLUS; 102 PLUS EFERVESCENTE; 102 SPORT BCAA; 102 VITAMINA C; 102 VITAMINA C SOBRES; ADEROGYL; ALERMUC; APASMO; APASMO COMPUESTO
Betterlife,https://ar.prvademecum.com/laboratorio/betterlife-872/,Roldán 466,Mar del Plata,Bs. As.,54-223-4743653,
Pharmalep,https://ar.prvademecum.com/laboratorio/pharmalep-411/,Saladillo 2453,,Capital federal,,STAMEL; TIAL; TIALSUR; TIALSUR PLUS
Fortbenton,https://ar.prvademecum.com/laboratorio/fortbenton-125/,Escalada 133,Capital,,4682-9376/9309/9380/3098 4635-0770,ACNESAN; ACNESAN DRY STICK; ALOEBEL; ALOEBEL LIP BALM; ALOEBEL UREA 10%; ALOEBEL-LIPMALBEX; ALOEBEL-REDENSIFICANTE; ALOEBEL-RETIN OIL; ANDROPEL; BIOQUERATIN; CICLOTETRYL; CISTALGINA; CISTEFORT; CISTIMAX GEL UNGUEAL; CUTA CREMA
Biofactor,https://ar.prvademecum.com/laboratorio/biofactor-960/,Girardot 1689,,Capital federal,4551-7110,AIMAFIX; AIRBUDE; AIRBUDE INFANTIL HFA + MAXAIR PED; AIRSALBU HFA; AT III KEDRION; EMOCLOT; EMOSINT 20; ENOPARIN; IG VENA; IMMUNORHO 300; TREXANET; UMAN ALBUMIN; UMAN COMPLEX; VITABREN B12
Klonal,https://ar.prvademecum.com/laboratorio/klonal-83/,Lamadrid 802,Quilmes,Bs. As.,4259-4252/4371 4251-1354,AMIKACINA KLONAL; AMIOCAR; AMLOTENS; AMOX-G; AMOX-G DUO; ANESTEX; ATENOBLOCK; AZITRONA KLONAL; BETASONE-G; BETASONE-G COMPUESTO; BETASONE-G FL; BETASONE-G RETARD; BROMEXIDRIL; BUPIVACAINA HIPERBARICA KLONAL; C M P  200
Sertex,https://ar.prvademecum.com/laboratorio/sertex-525/,Brown 2862,Rosario,SANTA FE,(0341) 4304519/4300215,
Dominguez,https://ar.prvademecum.com/laboratorio/dominguez-90/,Av. La Plata 2552,Capital,,4921-1030 (Líneas rotativas),5 ASA; 5 ASA 1000; 5 ASA 2000; 5 ASA 4GR; 5 ASA 500; 5 ASA 800; ACIFOL 1; ACIFOL 10; ACIFOL 5; ACIFOL FE; ACIFOL GOTAS; ACIFOL-B12; AFLUSAN; BAREX; BAREX 70
Lauria Merlino,https://ar.prvademecum.com/laboratorio/lauria-merlino-169/,Camarones 1824,Capital,,011-4859-8400,
Amenite,https://ar.prvademecum.com/laboratorio/amenite-589/,Caracas 4721,Capital,,4571-8410,
Geminis Farmac ,https://ar.prvademecum.com/laboratorio/geminis-farmac--652/,26 de Abril 3425,Ituzaingó,Bs. As.,(5411) 2150-6625,ACIVAL; AMLODICORD; ATORMAX 10; ATORMAX 20; ATORMAX 40; BEGAN 12; CARVICORD; DOLONEUTIN; DOLONEUTIN  PRACTIDOSIS; DOXIUM; EFLEVAR; FOLFIRIMOX; GEMI COMPLEX; GEMISTATIN; LOREBIL
Megalabs Arg ,https://ar.prvademecum.com/laboratorio/megalabs-arg--241/,Vuelta de Obligado 2775,,Capital federal,4781-2552 (Líneas rotativas),AEROGAL NRO. 4; AFONISAN; ALACIR; AMINOTERAPIA; AMINOTERAPIA ADVANCED; AMINOTERAPIA ADVANCED SHAMPOO; AMINOTERAPIA CAPILAR; ANGINOTRAT; ANILAR; APSICO; AQUATOP; ASOLMICINA.DOX; ATIPINA; BIOTIN A; CADOS
Aspen Pharma,https://ar.prvademecum.com/laboratorio/aspen-pharma-1019/,Tres arroyo 329 La Cantábrica,Haedo,Bs. As.,1155688960,AGRASTAT; ALDOMET; AMLOC; ARIXTRA; CARDURA; CELEBREX; DECA DURABOLIN; DETRUSITOL; EFEXOR XR; IMURAN; INSPRA; LANVIS; LAPENAX; LEUKERAN; LIPITOR
Ultra Pharma,https://ar.prvademecum.com/laboratorio/ultra-pharma-959/,Av. Iriarte 2727,,Capital federal,1143024666,CIPROFLOXACINA UPL; METRONIDAZOL UPL; SOLUCION MOLAR UPL; ULTRACICLIB
Mar,https://ar.prvademecum.com/laboratorio/mar-558/,Av. Gaona 3875,Capital,,4582-5090,
Farmacoop,https://ar.prvademecum.com/laboratorio/farmacoop-998/,Medina 138,C.A.B.A.,,1130743155,
Biocontrol,https://ar.prvademecum.com/laboratorio/biocontrol-419/,Fraga 1504,Capital,,4555-7585,
A.M. Farma Activ,https://ar.prvademecum.com/laboratorio/a-m-farma-activ-552/,Italia 743,Rosario,SANTA FE,(0341) 4255580,
Conifarma,https://ar.prvademecum.com/laboratorio/conifarma-779/,Pringles 10 Piso 4,,Capital federal,+541149839862 / +541149830534,CYSTAM 150 MG; CYSTAM 50 MG; GLUMIC; NITINE
Merck,https://ar.prvademecum.com/laboratorio/merck-806/,Tronador 4890 4to Piso,Capital,,4546-8167,BAVENCIO; CETROTIDE; CRINONE 8%; ERBITUX; GONAL-F 2.0 300 UI; GONAL-F 2.0 450 UI; GONAL-F 2.0 900 UI; MAVENCLAD; OVIDREL; PERGOVERIS PEN; REBIF NF; SAIZEN; TEPMETKO
Innovapharma,https://ar.prvademecum.com/laboratorio/innovapharma-940/,Av. Ejército Argentino 3495,Santo Tome,SANTA FE,0342-475 1745,
Biogen,https://ar.prvademecum.com/laboratorio/biogen-824/,Av. del Libertador 350 Piso 7,Vicente López,Bs. As.,5550-8172,AVONEX PEN; PLEGRIDY; SPINRAZA; TECFIDERA; TYSABRI
Cepage,https://ar.prvademecum.com/laboratorio/cepage-902/,Maipú 509,,Capital federal,4346-9700,
Bacon,https://ar.prvademecum.com/laboratorio/bacon-430/,Uruguay 136,Villa Martelli,Bs. As.,4709-0171,GREENBAC; OPACRILE 300; OPACRILE 370; VIEWGAM
Rospaw S.R.L.,https://ar.prvademecum.com/laboratorio/rospaw-721/,Santos Dumont 4744,Capital,,4856-7400 / 4857-1306,ACENOCOUMAROL ROSPAW; AMIPTRIL; AMLOPAW; APECUR; BIPERIDENO ROSPAW; CARVIPAW; CILOSPAW; CLONAZEPAM ROSPAW; CLOPIDOGREL ROSPAW; CLOZAPINA ROSPAW; DICLOFENAC POTASICO TAURO; DORMI-ROS; FAXIPAW; FENROS; GNO 30MG
Beta,https://ar.prvademecum.com/laboratorio/beta-30/,Av. San Juan 2266,Capital,,5921-6200 (Líneas rotativas),AGLUCIDE MR 60; ANDROLONE; ATEROCLAR; ATEROCLAR COMBI; ATERONOVA; AVAMIDE; AVAMIDE MET; AXIOMAT; BRINTENAL; CERELUC; CERELUC MET; CIPROVIT CALCICO; CIPROVIT MAGNESICO; CLAROVIL; CLAROVIL UD
Delier,https://ar.prvademecum.com/laboratorio/delier-957/,25 de Mayo 551 Piso 1 Dto. E,Morón,Bs. As.,11 5160 9479 / 114 081 8491,
Drog Drofar,https://ar.prvademecum.com/laboratorio/drog-drofar-760/,Av. Juan B. Justo 2713,Capital,,4855-6348/3564/2893,
Medipharma,https://ar.prvademecum.com/laboratorio/medipharma-185/,Calle 143 1435 e/61 y 62,La Plata,Bs. As.,(0221) 450-7267/2748,ACIPOUN ORAL; DIAZEPAM MEDIPHARMA; ELEBE; GLENTOR; HALOPERIDOL MEDIPHARMA; IODOMED; PERBEL; PROVAL; RIUCLONAZ; RUPOX; SUNONIX; VUNOT
Nutentar,https://ar.prvademecum.com/laboratorio/nutentar-878/,Vicente Lopez 226,Moron,Bs. As.,Tel: 114627-7550,
Drog Progen,https://ar.prvademecum.com/laboratorio/drog-progen-767/,Alsina 1777,Capital,,6091-6600 0810-222-7764,
Rovafarm,https://ar.prvademecum.com/laboratorio/rovafarm-810/,Bouchard 710 Piso 11,,Capital federal,4318-9629,ELGYDIUM DIENTES SENSIBLES; ELGYDIUM JUNIOR; ELGYDIUM PROTECCION CARIES DENT; ELUGEL; PANSORAL; PARODIUM
Scott Pharma S.A.,https://ar.prvademecum.com/laboratorio/scott-pharma-882/,Bahia Blanca 780,,Capital federal,4672-5999,HIOSCINA SCOTT; NEO STG; REDORMIN
Genomma,https://ar.prvademecum.com/laboratorio/genomma-794/,Gdor. Valentín Vergara 403 2º,Vicente Lopez,Bs. As.,5295-9150,ALERMINA; BENGUE DESINFLAMANTE; BENGUE SIN OLOR; BENGUE ULTRA; GENOPRAZOL; GENOPRAZOL PLUS; IBU 400; IBU 400 PLUS; IBU 600; LAFEDRYL V2; LOMECAN CREMA VAGINAL; LOMECAN FLUCO; LOMECAN OVULOS; NEXT; NEXT AB
Drog Seiseme,https://ar.prvademecum.com/laboratorio/drog-seiseme-759/,Av. San Martin 3116,L. del Mirador,Bs. As.,4699-2504/1708/1268/1167,
Teingro,https://ar.prvademecum.com/laboratorio/teingro-750/,Suipacha 60 /62 Bis,Rosario,SANTA FE,54-341-4373700/4370965,
Donato Zurlo,https://ar.prvademecum.com/laboratorio/donato-zurlo-461/,Virgilio 844,Capital,,4639-8540,
Temis Lostalo,https://ar.prvademecum.com/laboratorio/temis-lostalo-292/,Zepita 3178,Capital,,6344-1300/01/02/03/04/05 Compras: 6344-1225,AFENEXIL; ASEPTOBRON; ASEPTOBRON ANTIGRIPAL FORTE; ASEPTOBRON C PLUS; ASEPTOBRON INHALACIONES; BARIO DIF CITRATADO; BEAPLEN 10; BEAPLEN 20; BRONCOLIUM; CALPRES; CEBROCAL; CISTIL; COLPOESTRIENE; COLPOESTRIOL; CONTOUR PLUS ELITE
Vent 3,https://ar.prvademecum.com/laboratorio/vent-3-299/,Juan D. Jufré 4820,Secc. 4a. Bo. José I. Díaz,CORDOBA,(0351) 497-2251/2955/6325/9030,
Lagos,https://ar.prvademecum.com/laboratorio/lagos-166/,Uspallata 2678,Beccar,Bs. As.,4719-6002/7853,
Schafer,https://ar.prvademecum.com/laboratorio/schafer-809/,25 de Mayo 259,Gualeguay,ENTRE RIOS,0344-424628,CARBON BELLOC
Betterinside,https://ar.prvademecum.com/laboratorio/betterinside-1034/,Barrio Altos de la Ribera - L13,Santo Tomé,SANTA FE,342- 5224382 / 342-5439264,
Boeh Ingel ,https://ar.prvademecum.com/laboratorio/boeh-ingel--43/,Cazadores de Coquimbo 2841 Piso 2,Munro,Bs. As.,4704-8600,ACTILYSE; ATROVENT HFA; BERODUAL HFA; BEROTEC HFA; COMBIVENT SOLUCION SM; GIOTRIF; GLYXAMBI; JARDIANCE; JARDIANCE DUO; METALYSE; MICARDIS; MICARDIS AMLO; MICARDIS PLUS; OFEV; PRADAXA
Garre Guevara,https://ar.prvademecum.com/laboratorio/garre-guevara-887/,Av. Callao 322 Piso 2,CABA,,5368-1843,
Elea Phoenix S.A.,https://ar.prvademecum.com/laboratorio/elea-105/,Av. Gral J.G. Lemos 2809,Los Polvorines Villa de Mayo,Bs. As.,4489-8300,3-TC/AZT ELEA; 8 HORAS; ABACAVIR ELEA; ABARAX; ABIRANOVA; ACALANIB; ADERMICINA; ADERMICINA A; ADERMICINA AE; ADERMICINA ANTI ACNE; ADERMICINA CUIDADO FACIAL; ADERMICINA JABON LIMPIEZA FACIAL; AEROXINA; AEROXINA SUSPENSION; AEROXINA U.D.
Biosintex S.A.,https://ar.prvademecum.com/laboratorio/biosintex-688/,Salom 657,Capital,,4301-2251,BIOCORT; BUCOANGIN FORTE SIN AZUCAR; DIROLAC SL; FERROLOGIC (VENOFER); FORZAK; GINEZOLEX; GINEZOLEX INTIMO; KETOLEF; KLOMADEX; LABIODERM; LACRIGESTINA COLIRIO; LACRIGESTINA LAGRIMAS; MIDERMUS ATOP; MIDERMUS DBT; MIDERMUS PROTECTOR FACIAL
Ibero Americano SA,https://ar.prvademecum.com/laboratorio/newtec-1037/,Falistoco Cesar y Antonio 2735,Tandil,Bs. As.,0249-442-9627,AMPI SULBA NEWTEC; AMPICILINA NEWTEC; CEFALOTINA NEWTEC; CEFAZOLINA NEWTEC; CEFTAZIDIMA NEWTEC; CEFTRIAXONA NEWTEC; PIPERTAZO NEWTEC
Web Supplements,https://ar.prvademecum.com/laboratorio/web-supplements-847/,Obispo Salguero 507,,CORDOBA,0351 4696858,
Fitoplasma,https://ar.prvademecum.com/laboratorio/fitoplasma-1029/,Av. Belgrano 2564,Don Torcuato Tigre,Bs. As.,01147274644,
Pgn,https://ar.prvademecum.com/laboratorio/pgn-615/,O'Brien 1246,Paraná,ENTRE RIOS,0343-4372814/4030004/77,
Roche,https://ar.prvademecum.com/laboratorio/roche-250/,"Rawson 3150 (Panamericana Ruta 9 - Km 34,5)",Ricardo Rojas,Bs. As.,(5411) 5129-8000,ACCU-CHEK ACTIVE GLUCOSA; ACCU-CHEK ACTIVE KIT; ACCU-CHEK FASTCLIX; ACCU-CHEK FASTCLIX KIT; ACCU-CHEK GUIDE; ACCU-CHEK PERFORMA; ACCU-CHEK PERFORMA CONTROL; ACCU-CHEK SMARTGUIDE; ACCU-CHEK SOFTCLIX; ACCU-CHEK SOFTCLIX NEW LANCETS; ACTEMRA; ACTEMRA SC; AGUJAS ACCU-FINE; ALECENSA; AVASTIN
Shire Argentina,https://ar.prvademecum.com/laboratorio/shire-argentina-961/,Boulevard Cecilia Grierson 255 Piso 4,Pto.Madero,Capital federal,+54 11 3753 4400 / 3753-4413 Directo,
Austral,https://ar.prvademecum.com/laboratorio/austral-368/,Av. Olascoaga 951,Neuquén,NEUQUEN,(0299) 448-2090/2091,ADENIL; AEROLEP; AESIM 200; AMOXITRAL; AZITROX; BANOCLUS GEL; DICLOLAM; DICLOLAM GEL; IBU APRACUR; IBU APRACUR 800; IBU APRACUR FORTE; MICOTRAL; POLI B FUERTE; PRAZITRAL; PROSTANIL
Omicron S.A.,https://ar.prvademecum.com/laboratorio/omicron-763/,Calle 23 Esquina Calle 66,San Martín Villa Zagala,Bs. As.,4752-5081 / 4754-1043,ALGINOPROX; ALUDROX II; AMODORMIN; AMODORMIN; CAMINOL LIQUIDO; CHACK; CORTAGRIP; CORTAGRIP C; DERMXINFANTIL; FLOGODISTEN; FLOGODISTEN DUO; GEMIPASMOL; GOTINASAL; HEADON 50; IBUBENITOL 400
Spineda,https://ar.prvademecum.com/laboratorio/spineda-220/,Zado 3735,Villa Urquiza Capital,,4572-2902 4573-0529,
Argenfarma,https://ar.prvademecum.com/laboratorio/argenfarma-320/,Monteagudo 1091,Villa Bosch,Bs. As.,4844 9689/7363,
Drog Garzon,https://ar.prvademecum.com/laboratorio/drog-garzon-699/,Av. Juan B. Alberdi 5840,Capital,,4635-9600,
Pharma Alioth,https://ar.prvademecum.com/laboratorio/pharma-alioth-976/,Av. Independencia 1511 Piso 1,C.A.B.A.,,+541152536707,
Donnax Group,https://ar.prvademecum.com/laboratorio/donnax-group-996/,Dorrego 4341,Mar del Plata,Bs. As.,0223-475-0375,DROPLET AGUJAS PARA PLUMA; DROPLET LANCETAS PERSONALES; GLUCONAVII GDH; MEDISAFE SOLO
Hoch Wertig,https://ar.prvademecum.com/laboratorio/hoch-wertig-828/,San Luis 2517,Córdoba Bº Alto Alberdi,CORDOBA,0351-4887143,
LKM S.A.,https://ar.prvademecum.com/laboratorio/lkm-159/,Colectora Panamericana Este 1925,San Isidro,Bs. As.,4719-1100,AGUCORT; AKYNZEO; BENDAM; BLEOCRIS 15; BOZOB; BUDENOFALK; CAPEBINA; CARBOPLATINO LKM; CICLOFOSFAMIDA LKM 1000MG; CISPLATINO LKM; CRESEMBA; CRISAPLA; DETAVI; DOLECTRAN NF; DOLUFEVIR 50
Finadiet,https://ar.prvademecum.com/laboratorio/finadiet-123/,Hipólito Yrigoyen 3771,Capital,,4981-5444/5544/5644/0860/0201,ALVEOTEROL; ALVEOXINA 1M; ALVEOXINA 2M; AMBRISENEX; ATEXA; BIFORT; BIFORT-M; BOFINTAN; CALMADOR; CALMADOR 100; CALMADOR CB; CALMADOR DEX; CALMADOR PLUS; CALMADOR RETARD; CAPILFOR
Dr Gray,https://ar.prvademecum.com/laboratorio/dr-gray-92/,Thames 372 Piso 1,Capital,,11-6756-0011 4854-8153,"ACPAN; ALPROSTADIL GRAY; ANALMORPH; ATRACURIO; CAINA G 0,50% INYECT. C/EPI.; CAINA-G 0.50% HIPERBARICA; CLONIDINA GRAY; DOBUTAMINA GRAY; DURAMORPH; FENILEFRINA GRAY; FENTANILO GRAY; GRAYXONA; INDUCMINA 500; ISOPROTERENOL; LIGNOCAINA 1%"
Janssen Cilag,https://ar.prvademecum.com/laboratorio/janssen-cilag-157/,Mendoza 1259,Capital,,4789-7200,BALVERSA; CONCERTA; DAKTARIN; DARZALEX; DARZALEX SC; DUROGESIC D-TRANS; ERLEADA; HALOPIDOL; HALOPIDOL DECANOATO; IMBRUVICA; INTELENCE 200; INVEGA; INVEGA SUSTENNA; INVEGA TRINZA; INVOKANA
Drog Francesa,https://ar.prvademecum.com/laboratorio/drog-francesa-803/,Calle 14 2750 Esq. 127 A,Berazategui,Bs. As.,4256-7615 4216-9654,
Sidus,https://ar.prvademecum.com/laboratorio/sidus-274/,Av. Dardo Rocha 944,Martinez,Bs. As.,4796-6800,BIGLUCEM AP; CARDIVAS; CISPLATINO DELTA FARMA; CYCLOPARIN; DECADRON CON CIPROFLOXACINA; DECADRON CON NEOMICINA; DECADRON CON TOBRAMICINA; DORZOFLAX; EFECORYL FORTE; ELGYDOL; ELGYMOX; ELGYMOX CLAV; ELGYMOX DUO; ETOREX; ETUMINA
Roemmers,https://ar.prvademecum.com/laboratorio/roemmers-251/,Fray J. Sarmiento 2350,Olivos,Bs. As.,4346-9700,ABAXON; ACALIX; ACALIX A.P.; ACALIX CRONOS; ACUS; AGLIPTIN; AGLIPTIN MET; ALLOPURINOL 100 CRAVERI; ALLOPURINOL 300 CRAVERI; ALVERIN; AMOXIDAL; AMOXIDAL DUO; AMOXIDAL DUO MUC; AMOXIDAL RESPIRATORIO; AMOXIDAL RESPIRATORIO DUO
Gemepe,https://ar.prvademecum.com/laboratorio/gemepe-446/,Jovellanos 886,Capital,,5281-6900,ACICLOVIR GEMEPE; ADENOSINA GEMEPE; AMPICILINA GEMEPE; AMPICILINA SULBACTAM GEMEPE; ATRACURIUM GEMEPE; BABY FACT B; BICARBONATO DE SODIO MOLAR GEMEPE; BUPIVACAINA GEMEPE; BUPIVACAINA HIPERBARICA; CEFALOTINA GEMEPE; CEFTRIAXONA GEMEPE; CILASTATINA GEMEPE; DOBUTAMINA GEMEPE; ETILEFRINA CLORHIDRATO GEMEPE; FENITOINA GEMEPE
Benitol,https://ar.prvademecum.com/laboratorio/benitol-29/,Felipe Vallese 3340,Capital,,4671-9590/8011,
Fucus,https://ar.prvademecum.com/laboratorio/fucus-128/,Santiago del Estero 3117 Esq. Panameric.,Martínez,Bs. As.,4717-6501,
Nipro,https://ar.prvademecum.com/laboratorio/nipro-912/,Fondo de la Legua 936,Martinez,Bs. As.,011 4500-1500,GOCHEK2; NIPRO PREMIER; NIPRO PREMIER ALPHA
Natufarma,https://ar.prvademecum.com/laboratorio/natufarma-198/,Simón de Iriondo 3326,Esperanza,SANTA FE,(03496) 420065/420495/420153/421335,
Hemoderivados,https://ar.prvademecum.com/laboratorio/hemoderivados-140/,Av. Valparaíso S/N,Ciudad Universitaria,CORDOBA,(0351) 433-4122/23 433-3034/35,GAMMA ANTI-RHO UNC
Max Vision,https://ar.prvademecum.com/laboratorio/max-vision-788/,Ruiz Huidobro 2762,Capital,,4702-2862 / 4703-4246,ALKET; ALOSOL; ANTILERG; AZOMICINA; BRIT; BRIXIA; CIPOS 0.1%; COOL GEL; COOL TEARS; DIABO; FENAC; FLOMOX; GLAUCOPROST; GLAUCOSTAT; GLAUCOSTAT T
Patejim,https://ar.prvademecum.com/laboratorio/patejim-671/,Crespo 3262,Capital,,4919-2200 4918-8438,
Cassara,https://ar.prvademecum.com/laboratorio/cassara-57/,Carhué 1096,Capital,,4641-5404/0505/5362 4642-7409,5 FU; AEROTROP; AGB 10MCG; AGB 20MCG INYECTABLE; ALFABASE 8; ALFACORT; ALFACORT 1%; AMOXOL; AMOXOL DUO; AMOXOL DUO COMPRIMIDOS; ANAGEN; ANAGEN 5%; ARVAC; ASPIRE; ATOPIX
Fabra,https://ar.prvademecum.com/laboratorio/fabra-112/,Carlos Villate 5271,Munro,Bs. As.,4756-7293/4153 4512-5573/5574,ADRENOL; ADRENOL FORTE; ALLOPURINOL FABRA; AMPIGEN; AMPIGEN SB; AMPIGEN SIMPLE; ANGIOFILINA; ATORVASTATINA FABRA; BENISAN; BUTA RUT B12; BUTASONA FABRA; BUTASONA FABRA R.L.; CANDIDIAS; CARBAMAZEPINA FABRA; CEFADROXILO FABRA
Dr Madaus,https://ar.prvademecum.com/laboratorio/dr-madaus-418/,Av. Luis María Campos 585,Capital,,4772-2428,
Futerman Int ,https://ar.prvademecum.com/laboratorio/futerman-int--626/,H. de la Quintana 827,Rosario,SANTA FE,(011) 52580213 / 52580214 / 52580243 / 52580246,CIENTIFIC SYNOVIAL
Frasca,https://ar.prvademecum.com/laboratorio/frasca-127/,Galicia 2652 /64/66,,Capital federal,4581-6100,AMITRIPTILINA CEVALLOS; BACLOFENO CEVALLOS; BIPERIDENO CEVALLOS; CLORPROMAZINA CEVALLOS; CREMA DE BISMUTO CEVALLOS; DICLOFENAC CEVALLOS; FLUOXETINA CEVALLOS; LEVOMEPROMAZINA CEVALLOS; SERTRALINA CEVALLOS; TOPIRAMATO CEVALLOS
Internacional Argentino,https://ar.prvademecum.com/laboratorio/lab-int-arg--904/,Av.12 de Octubre 4444,Quilmes,Bs. As.,(011) 15 4042 1821,AEROVIAL HFA; AIRCOSALM HFA; ALSEL; BLEFASKIN; CELU-ATLAS; DORLAMIDA; DORLAMIDA T; ENOXANORTH; EPIOFTAL; ERITROMICINA ATLAS; ESTRI-ATLAS; FENIPRED ACETATO; FORMOVENT + BUDE; GLAUCOGESIC; GLAUCOGESIC T
Newpga,https://ar.prvademecum.com/laboratorio/newpga-521/,Gobernador Ugarte 3561,Munro,Bs. As.,4721-8500,FIXODENT ORIGINAL; VICK VAPORUB; VICK VITAPYRENA; VICK VITAPYRENA FORTE; VICK VITAPYRENA MANZANILLA
Merz,https://ar.prvademecum.com/laboratorio/merz-963/,Juan Diaz de Solis 1860 Piso 3 Of. 1,,Bs. As.,11-2152-3120,
Syemed,https://ar.prvademecum.com/laboratorio/syemed-1016/,Franklin D. Roosevelt 3430,,Capital federal,1167490061,
Cetus,https://ar.prvademecum.com/laboratorio/cetus-60/,Querandíes 4275,Capital,,4958-3412/14/16,AFEME; ARNOL 720-T; BELMALEN; BELMALEN PLUS; BESTROL; BICROMIL; BITECAIN AA; CETIRIZINA CETUS; CORIZINA CETUS; CUADEL; DAGOL CETUS; FAGOLIP PLUS; FLAVAL; IONET; KINETIDOM
Filaxis,https://ar.prvademecum.com/laboratorio/filaxis-821/,Helguera 2756,Capital,,4505-0909,ACTIMIB; ANASTROZOL FILAXIS; CAPECITABINA GP PHARM; CARBOPLATINO FILAXIS; CICLOFOSFAMIDA FILAXIS; CISPLATINO FILAXIS; CITOFIN; DOCETAXEL FILAXIS; DREICO; ETOPOSIDO GP PHARM; FLUOROURACILO FILAXIS; FLURADOSA; HAXANIT; IFOSFAMIDA FILAXIS; IMATINIB GP PHARM
Pharmadorf,https://ar.prvademecum.com/laboratorio/pharmadorf-657/,Av. Libertador 8630 9º Depto. 3,C.A.B.A.,,4551-6018 4554-6885,AVANCEL; CERVILANE; CIPROFLOXACINA D DORF; CIPROFLOXACINA DORF; CREMOQUINONA CICATRICES; CREMOQUINONA DIA; DEXAMETASONA DORF; DIENOPIL 28; DORZOLAMIDA T DORF; DROLZEN; EDICTUM; FLAGYL; FOLINEMIC; FREX CLEAN-T; GIARDIL
Eriochem,https://ar.prvademecum.com/laboratorio/eriochem-757/,Ruta 12 Km 452,Paraná Colonia Avellaneda,ENTRE RIOS,0343-4979125,ERIOGEM; ERIOLAN; ERIOPHOS; ERIOX; EUGENE; GOXYRAL; MARTXEL; VINOREL
Laboratorio Ena,https://ar.prvademecum.com/laboratorio/laboratorio-ena-542/,Florida 1595,Bahía Blanca,Bs. As.,(0291) 488-8207,
Drog Del Sud,https://ar.prvademecum.com/laboratorio/drog-del-sud-780/,Humberto 1º 1868,Capital,,4309-9100,
Sanofi Aventis,https://ar.prvademecum.com/laboratorio/sanofi-aventis-571/,Cuyo 3532,Martinez,Bs. As.,4732-5000,ALDURAZYME; AUBAGIO; CAPRELSA; CERDELGA; CEREZYME; CLEXANE; DUPIXENT; FABRAZYME; FASTURTEC; INSULINA APIDRA SOLOSTAR; INSULINA LANTUS SOLOSTAR; JEVTANA; KEVZARA; LASIX; LEMTRADA
