nombre,url,accion_therapeutica,propiedades,indicaciones,dosificacion,reacciones_adversas,precauciones,interacciones,contraindicaciones,sobredosificacion,medicamentos
Calcio lactogluconato,https://ar.prvademecum.com/principio-activo/calcio-lactogluconato-754/,,,,,,,,,,CALCIO BASE EFERVESCENTE; CALCIO BASE EFERVESCENTE D3 200; CALCIO BASE EFERVESCENTE D3 400
Vaccinium corymbosum,https://ar.prvademecum.com/principio-activo/vaccinium-corymbosum-6834/,,,,,,,,,,BLUEKING
Maca,https://ar.prvademecum.com/principio-activo/maca-4513/,,,,,,,,,,OPTIMIZE FEM
Alfa hidroxiácidos,https://ar.prvademecum.com/principio-activo/alfa-hidroxi%C3%A1cidos-2255/,,,,,,,,,,
Dextrán,https://ar.prvademecum.com/principio-activo/dextr%C3%A1n-1139/,Expansor del volumen plasmático.,"Es un sustituto del plasma que químicamente es un coloide o polímero de la glucosa formado por acción de la bacteria Leuconostoc mesenteroides sobre la sacarosa. Partiendo de polisacáridos de alto peso molecular, se logran, por hidrólisis, fragmentos de bajo peso molecular -en promedio 70.000 daltons (dextrán 70) o 40.000 daltons (dextrán 40)- que se utilizan como coloides expansores del plasma en solución al 6% y al 10%, respectivamente. Empleado en casos de hipovolemia (shock, hemorragias, deshidratación) aumenta el volumen sanguíneo, el volumen minuto cardíaco, el retorno venoso y la presión arterial. Su efecto expansor provoca hemodilución y es similar al que se logra con la administración de plasma sanguíneo, de soluciones de albúmina o proteínas plasmáticas. Se administra por infusión intravenosa, luego de la cual, debido a su alto peso molecular, las macromoléculas permanecen en la circulación, con una vida media de 24 horas para el dextrán 70 y algo más prolongada para el dextrán 40. Ambos se eliminan por riñón, aunque con más rapidez en el caso de la variedad de menor peso molecular, aproximadamente 70% en 24 horas.","Shock, deshidratación. Estados hipovolémicos, grandes quemados, hemorragias agudas, pacientes con politraumatismos graves. Tromboembolismo. Preoperatorio.","Varía de acuerdo con el cuadro clínico y las necesidades del paciente. La dosis media para ambos tipos es de 500 ml de una solución isotónica al 6% de cloruro de sodio; las dosis varían entre 250 ml y 5.000 ml por día. En quemados graves se prefiere el dextrán 70 y en el shock o las hemorragias agudas el dextrán 40, el primero en solución al 6% y el segundo al 10%. Se comienza con 500 ml que se perfunden en 15 a 120 minutos, según la gravedad del cuadro, y la continuación de la administración dependerá del retorno a la normalidad de los valores de la presión venosa central (100 a 120 mm Hg) y de la presión arterial (100 mm Hg).","Son de escasa incidencia y se relacionan con fenómenos de hipersensibilidad o alergia, urticaria, prurito, exantema cutáneo, eosinofilia, shock anafiláctico, fiebre, artralgias, náuseas, vómitos. Si la perfusión intravenosa es rápida y de grandes volúmenes, en poco tiempo puede producirse sobrecarga circulatoria e insuficiencia cardíaca aguda, disnea, cianosis e incluso edema agudo de pulmón. En sujetos que reciben la perfusión de grandes volúmenes de estos coloides expansores puede prolongarse el tiempo de sangría.","En pacientes ancianos con patologías de base (anemia, insuficiencia cardiorrespiratoria), la administración debe ser lenta y controlarse con cuidado. En caso de descompensación hemodinámica se suspenderá la administración y se instaurará el tratamiento clásico: diuréticos, inotrópicos, oxigenoterapia y cardiotónicos. En casos de reacción alérgica grave, adrenalina, corticosteroides, antihistamínicos H1 y oxigenoterapia. Emplear con precaución en presencia de insuficiencia hepática o renal.",,"Antecedentes de alergia o hipersensibilidad a estos coloides. Edema agudo de pulmón, insuficiencia cardíaca congestiva, fibrinogenemia, insuficiencia renal, trombocitopenia.",,ALCON LAGRIMAS II; BIDEON LAGRIMAS; BIO EYES LAGRIMAS; COLTIX ADVANCE COLIRIO; LUBRICTIN H; PH LAGRIMAS GOTAS; PH LAGRIMAS LC; VALMAX LAGRIMAS
Dostarlimab,https://ar.prvademecum.com/principio-activo/dostarlimab-7418/,Antineoplásico.,"Dostarlimab es un anticuerpo monoclonal humanizado que se une al receptor de muerte programada-1 (PD-1) y bloquea su interacción con los ligandos PD-L1 y PD-L2. Esto libera la inhibición de la respuesta inmunitaria mediada por la vía PD-1, lo que puede resultar en la activación de los linfocitos T y la potenciación de una respuesta inmunitaria antitumoral. Absorción y Distribución: La farmacocinética de dostarlimab se evaluó en pacientes con tumores sólidos. El volumen de distribución en estado estacionario es de aproximadamente 5,3 litros. Biotransformación: Dostarlimab es un anticuerpo monoclonal y se espera que se degrade en péptidos pequeños y aminoácidos individuales a través de vías catabólicas. Eliminación: El aclaramiento de dostarlimab es de 0,007 l/h. La semivida de eliminación en estado estacionario es de 25,4 días.","Está indicado en monoterapia para el tratamiento de pacientes adultas con: Cáncer de endometrio (CE) con deficiencia del sistema de reparación de apareamientos (dMMR)/inestabilidad de microsatélites alta (MSI-H), avanzado o recurrente, que ha progresado durante o después de un tratamiento previo basado en platino. Cáncer de endometrio (CE) con deficiencia del sistema de reparación de apareamientos (dMMR)/inestabilidad de microsatélites alta (MSI-H) en estadio avanzado o de primera recidiva, en combinación con carboplatino y paclitaxel. Tumores sólidos con deficiencia del sistema de reparación de apareamientos (dMMR)/inestabilidad de microsatélites alta (MSI-H) en recaída o avanzados que han progresado durante o después de un tratamiento previo y para los que no existen opciones de tratamiento alternativas satisfactorias.","Monoterapia: La dosis recomendada es de 500 mg cada 3 semanas para 4 dosis, seguida de 1.000 mg cada 6 semanas. En combinación con carboplatino y paclitaxel: La dosis recomendada es de 500 mg cada 3 semanas para 6 dosis, seguida de 1.000 mg de dostarlimab en monoterapia cada 6 semanas. Forma de administración: Se administra como perfusión intravenosa durante 30 minutos. Modificaciones de la dosis: No se recomiendan reducciones de dosis. Se debe retrasar o suspender el tratamiento para manejar reacciones adversas de origen inmunitario.","Las reacciones adversas más frecuentes son: Muy frecuentes (≥1/10): anemia, hipotiroidismo, hipertiroidismo, tos, náuseas, diarrea, vómitos, dolor abdominal, estreñimiento, artralgia, mialgia, prurito, erupción, fiebre, fatiga, astenia, aumento de las transaminasas (ALT, AST) y aumento de la creatinina en sangre. Frecuentes (≥1/100 a  < 1/10): neutropenia, trombocitopenia, reacciones de hipersensibilidad, reacciones relacionadas con la perfusión, insuficiencia suprarrenal, tiroiditis, hipofisitis/hipopituitarismo, diabetes mellitus tipo 1, neumonitis, colitis, pancreatitis, hepatitis, nefritis, miositis, dolor en una extremidad y escalofríos. Poco frecuentes (≥1/1.000 a  < 1/100): encefalitis, síndrome de Guillain-Barré, miastenia grave, uveítis, miocarditis, pericarditis, cetoacidosis diabética, colangitis esclerosante, gastritis, duodenitis, síndrome de Stevens-Johnson, necrólisis epidérmica tóxica, artritis y cistitis no infecciosa.","Reacciones adversas de origen inmunitario: Dostarlimab puede causar reacciones adversas de origen inmunitario, que pueden ser graves o mortales. Estas incluyen neumonitis, colitis, hepatitis, endocrinopatías, nefritis y reacciones adversas cutáneas. Se debe vigilar a los pacientes para detectar signos y síntomas y tratarlos con corticosteroides y modificaciones del tratamiento según sea necesario. Reacciones relacionadas con la perfusión: Pueden ocurrir reacciones relacionadas con la perfusión. En caso de reacciones graves (grado 3) o potencialmente mortales (grado 4), se debe interrumpir la perfusión y suspender permanentemente el tratamiento.",No se han realizado estudios formales de interacciones farmacocinéticas con dostarlimab. No se esperan interacciones farmacocinéticas mediadas por el citocromo P450 (CYP) o por transportadores entre dostarlimab y otros medicamentos.,Hipersensibilidad al dostarlimab.,"No existe un tratamiento específico para la sobredosis de dostarlimab. En caso de sobredosis, se debe vigilar estrechamente a los pacientes para detectar signos o síntomas de reacciones adversas e instaurar un tratamiento sintomático apropiado.",JEMPERLI SOLUTION
Equisetum arvense,https://ar.prvademecum.com/principio-activo/equisetum-arvense-4063/,,,,,,,,,,FORTILAC
Dinoprostona,https://ar.prvademecum.com/principio-activo/dinoprostona-3089/,Inductor del parto. Oxitócico.,"La dinoprostona (prostaglandina E2) es un producto natural que estimula la contracción del miometrio del útero grávido en un modo similar al que se observa en el parto en el útero a término. Se desconoce si la dinoprostona ejerce este efecto en forma directa o indirecta; sin embargo, su administración tópica vaginal es suficiente, en la mayoría de los casos, para promover el vaciamiento del contenido uterino. Su acción también se ejerce sobre la estimulación de la contracción del músculo liso gastrointestinal, que se refleja en diarrea y vómitos sufridos con frecuencia por las mujeres que reciben dinoprostona para la terminación del embarazo. La dinoprostona puede producir una disminución de la presión sanguínea, que no ha sido observada con las dosis usadas clínicamente. La elevación de la temperatura corporal es otro efecto que se observa en algunos pacientes.","En dosis elevadas (más de 20mg por día): la dinoprostona está indicada para la terminación del embarazo entre las semanas 12 y 20 de gestación, calculadas desde el primer día del último período fetal normal. También está indicada para la evacuación del contenido uterino en casos de aborto perdido o muerte fetal intrauterina hasta la semana de gestación 28 calculada desde el primer día del último período fetal normal. También puede ser utilizada en el manejo de la mola hidatiforme benigna (enfermedad trofoblástica gestacional no metastásica). En dosis bajas (hasta 12mg diarios) está indicada para la inducción del parto, siempre que no haya contraindicaciones maternas o fetales para su aplicación. También está indicada en otras condiciones obstétricas: huevo muerto y retenido, feto muerto y en la enfermedad trofoblástica benigna (no metastásica).","En la inducción del parto la dosis debe adaptarse a la respuesta de la paciente y mantener siempre el nivel más bajo que produzca una respuesta uterina satisfactoria. La dosis habitual es de 3mg, en un comprimido vaginal que debe colocarse en el fondo de saco vaginal posterior. En caso de no presentarse contracciones se puede aplicar un segundo comprimido vaginal después de 6 a 8 horas. La dosis máxima diaria no debe exceder 6mg. No se recomienda el uso de dinoprostona durante más de 2 días. En terminación temprana del embarazo, por huevo muerto y retenido o feto muerto, se administran 20mg que podrán repetirse en intervalos de 3 a 5 horas hasta el parto.","Los estudios clínicos han informado pocos efectos adversos por el empleo de dinoprostona en la dosis de 6mg (máxima) diarios para la inducción del parto. Se han observado problemas gastrointestinales, náuseas, vómitos, hipercontractilidad uterina con bradicardia fetal y sin ella, rápida dilatación cervical, dolor de cabeza.","La diniprostona sólo debe usarse bajo estricta vigilancia médica. Debiera tenerse especial cuidado con la administración de dinoprostona a pacientes con antecedentes de glaucoma, asma o antecedente de enfermedad asmática. La dinoprostona puede producir taquisistolia uterina e hipertono que, a su vez, pueden ser causa de rotura uterina. Estudios en animales, con altas dosis durante períodos prolongados, han demostrado que las prostaglandinas de las series E y F pueden inducir la proliferación ósea. No hay evidencia de que la administración de dinoprostona en el corto plazo pueda ocasionar efectos similares en el nivel óseo. Se deberá evaluar la relación cefalopelviana, como también controlar cuidadosamente la dilatación cervical durante el trabajo de parto para prevenir el hipertono o la taquisistolia uterina. En pacientes con antecedentes de contractilidad uterina hipertónica o de contracciones uterinas tetánicas, se recomienda monitorear la actividad uterina así como el estado del feto. Las prostanglandinas pueden potenciar el efecto de la oxitocina, por lo tanto no debieran administrarse en forma conjunta. Su administración en secuencia exige un monitoreo cuidadoso de la actividad uterina de la paciente. Se recomienda su empleo en hospitales con unidades obstétricas especializadas con cobertura médica las 24 horas.","La dinoprostona puede potenciar la acción de otras drogas oxitócicas, por lo tanto no se recomienda la administración conjunta.","Hipersensibilidad a la dinoprostona. Enfermedad inflamatoria pelviana aguda. Pacientes con enfermedad cardíaca activa, enfermedad pulmonar, renal o hepática. También pacientes en los cuales los fármacos oxitócicos están contraindicados o en quienes las contracciones uterinas intensas y frecuentes se consideran inadecuadas por los antecedentes de cesárea previa, operaciones como histerotomía o miomectomía extensa y con lesiones en el cérvix, igualmente en pacientes con placenta previa, desproporción cefalopelviana, evidencia definitiva de riesgo fetal y pacientes multíparas con seis o más embarazos anteriores.","La presencia de hipertono o contracciones intensas e irregulares del útero puede estar asociada con sobredosis. Si la suspensión temporal no es efectiva para aliviar el riesgo fetal o el hipertono uterino, se debe dar a luz en forma inmediata. El tratamiento de sobredosis debe ser sintomático, pues los estudios clínicos con antagonistas de las prostaglandinas no han progresado lo suficiente como para recomendarlos.",PROPESS
Oxatomida,https://ar.prvademecum.com/principio-activo/oxatomida-671/,Antialérgico. Antihistamínico H1.,"Es un agente antialérgico que actúa bloqueando los receptores celulares para la histamina (H1), serotonina (5HT), leucotrienos (LTC3, LTC4) y el factor de agregación plaquetaria (PAF) impidiendo la liberación de estos mediadores químicos. Luego de su administración por vía oral, la oxatomida se absorbe completamente por la mucosa digestiva en el tracto gastrointestinal alcanzando su pico plasmático a las 2 horas y se metaboliza en el hígado por diferentes mecanismos (hidroxilación, dealquilación y conjugación). Su eliminación por metabolitos es especialmente por heces (60%) y en menores proporciones por orina y bilis, siendo solamente un 0,5% la excreción inalterada. Posee una larga vida media (14 horas) y una elevada ligadura a las proteínas plasmáticas (98%).","Patologías alérgicas respiratorias (rinitis, laringitis, fiebre de heno, asma extrínseca), cutáneas (urticaria, dermatitis atópica, dermografismo), conjuntivitis alérgica, picadura de insectos.","En adultos: 30mg, 2 veces por día. En niños: 0,5mg/kg, 2 veces por día. Las dosis mencionadas pueden duplicarse en casos refractarios, o en pacientes con escasa respuesta terapéutica. Se aconseja la administración después del desayuno y después de la cena.","Ocasionalmente se han señalado reacciones alérgicas (rash, angioedema), somnolencia, boca seca, náuseas, sed, vómitos, mareos, debilidad muscular; todas ellas reversibles y de carácter leve al suspender el tratamiento. Se han informado casos ocasionales y muy poco frecuentes de alteraciones hepáticas (ictericia, hepatitis) y neurológicas (disquinesias, convulsiones, síntomas extrapiramidales) que desaparecieron al suspender el tratamiento.","Emplear con precaución en pacientes con antecedentes de patologías hepáticas (hepatitis, etc.). En niños menores de 6 años se aconseja emplear con precaución y vigilancia médica periódica, lo mismo que en sujetos añosos. Se debe advertir a los pacientes que operan maquinarias o manejan vehículos sobre la posibilidad de disminución del nivel de vigilancia y alerta mental por la somnolencia. Evaluar beneficio-riesgo durante el embarazo o la lactancia.","Deberá suspenderse 48 horas antes de realizar pruebas cutáneas o test alérgicos ya que el fármaco puede interferir los resultados de reactividad dérmica. Los agentes depresores del SNC (alcohol, sedantes, hipnóticos, narcóticos) pueden potenciar los efectos.",Antecedentes de hipersensibilidad al fármaco. Insuficiencia hepática.,,LETONDAL
Soja,https://ar.prvademecum.com/principio-activo/soja-1343/,,,,,,,,,,NOVO CARTIFLEX ARTICULACIONES
Netupitant,https://ar.prvademecum.com/principio-activo/netupitant-7308/,,,,,,,,,,AKYNZEO
Aceite de life's Omega 60,https://ar.prvademecum.com/principio-activo/aceite-life's-omega-60-7238/,,,,,,,,,,CHIA PLUS BAGO
Desmopresina,https://ar.prvademecum.com/principio-activo/desmopresina-1122/,Antidiurético.,"Es un polipéptido sintético relacionado estructuralmente con la hormona arginina vasopresina (hormona antidiurética) de la hipófisis posterior. Incrementa la reabsorción de agua en el riñón al aumentar la permeabilidad celular de los túbulos colectores, lo que produce un aumento de la osmolaridad de la orina con un descenso simultáneo del volumen de excreción. Se absorbe 10% a 20% en la mucosa nasal. Se metaboliza en el riñón y, por vía intranasal, su efecto antidiurético se evidencia en una hora. La duración de la acción varía de 6 a 24 horas. El largo tiempo de acción se debe a la velocidad de absorción del medicamento en la mucosa nasal, la persistencia en plasma y el efecto en los túbulos renales. El efecto finaliza en forma brusca durante un período de 60 a 90 minutos. Actúa también como antihemorrágico por aumento del factor VIII y de la actividad del factor de von Willebrand.",Diabetes insípida neurogénica.,"Adultos: como antidiurético: 0,01mg al acostarse; puede sumar una dosis matinal de 0,01mg; mantenimiento: 0,01mg a 0,04mg/día (intranasal). Niños de 3 meses a 12 años: 0,005mg al acostarse; mantenimiento: 0,002mg a 0,004mg/kg/día.","Pueden aparecer rinorrea o congestión nasal, cefaleas, somnolencia, confusión o sofocos.","Debe ajustarse la ingestión de líquidos para disminuir la potencial intoxicación por agua y la hiponatremia, en especial en pacientes muy jóvenes o geriátricos. Los pacientes con congestión nasal, rinitis alérgica e infecciones de las vías respiratorias superiores pueden experimentar una merma en la eficacia por causa de la disminución de la absorción en la mucosa nasal.","La carbamazepina, la clorpropamida o el clofibrato pueden potenciar el efecto antidiurético cuando se utilizan en forma simultánea. El litio y la noradrenalina pueden disminuir el efecto antidiurético.","La relación riesgo-beneficio debe evaluarse en presencia de rinitis alérgica, congestión nasal, infección de las vías respiratorias superiores, enfermedad arterial coronaria y enfermedad cardiovascular hipertensiva.",,DESMOPRESIN; DESMOPRESIN MELT; DINADOM; DINADOM SPRAY NASAL; EMOSINT 20
Diuréticos ahorradores de potasio,https://ar.prvademecum.com/principio-activo/diur%C3%A9ticos-ahorradores-potasio-3834/,,,,,,,,,,
Sales de cinc,https://ar.prvademecum.com/principio-activo/sales-cinc-6747/,,,,,,,,,,
Glicina,https://ar.prvademecum.com/principio-activo/glicina-2802/,,,,,,,,,,
Etofenamato,https://ar.prvademecum.com/principio-activo/etofenamato-1663/,Antiinflamatorio. Analgésico.,"El etofenamato posee acción antiinflamatoria por vía transcutánea y por vía parenteral (IM). Es un antiinflamatorio no esteroide, con propiedades antiinflamatorias, analgésicas y antipiréticas. Su modo de acción es por inhibición de la ciclooxigenasa, sin afectar la lipooxigenasa, así como la formación de bradicinina, serotonina, hialuronidasa y complemento total. Inhibe también la liberación de histamina. Tiene, además, un efecto estabilizador de las membranas lisosomales y reduce la reacción a cuerpo extraño. El etofenamato es altamente lipofílico, con características fisicoquímicas que le permiten una buena penetración por la piel y el tejido conjuntivo. En el hombre su absorción cutánea es aproximadamente del 20%. La cinética del etofenamato es independiente de la edad. Los niveles plasmáticos de individuos ancianos son virtualmente iguales a los de los jóvenes. Su vida media es de 1,6 horas tras la administración oral. Después de la aplicación de 300mg de etofenamato en forma de crema a voluntarios sanos, se encontraron niveles plasmáticos máximos a las 12-24 horas. La biodisponibilidad del etofenamato inyectable (IM) es para algunas formulaciones alrededor del 91%. La unión a proteínas es del 98 al 99%. Dos horas después de su aplicación cutánea en la articulación inflamada se pudo detectar su presencia en plasma y líquido sinovial. Esta penetración rápida a los tejidos subyacentes a la piel se debe, además de la lipofilia del etofenamato, a su afinidad selectiva por los tejidos inflamados, en los que se ha comprobado una concentración 5 a 20 veces superior a la encontrada en el tejido no inflamado. A pesar de esta alta afinidad tisular el etofenamato no se acumula en el organismo. Después de varias semanas de administración cutánea, los niveles urinarios y particularmente los plasmáticos disminuyen rápidamente al suspender el medicamento. En pacientes con insuficiencia renal las concentraciones plasmáticas se encuentran en los mismos rangos que en voluntarios sanos, ya que el etofenamato tiene una excreción predominantemente biliar/fecal, que asciende a un 65%, mientras que la excreción renal es del 32 al 35%. La excreción se realiza como numerosos metabolitos (hidroxilación, desdoblamiento de grupos éter o éster) y sus conjugados. El etofenamato tiene circulación enterohepática. Administrado por vía IM su efecto aparece 64 a 82 minutos después de la aplicación y dura hasta 24 horas como mínimo.","Enfermedades reumáticas (artritis reumatoidea, espondilitis anquilosante, osteoartrosis y espondilartrosis), procesos dolorosos de los tejidos blandos del sistema locomotor (reumatismo extraarticular), hombro doloroso, lumbago, ciática, tortícolis, tenosinovitis, bursitis. Ataque agudo de gota. Traumatismos, lesiones deportivas (contusiones, esguinces). Posoperatorio y cólico renal.","Vía intramuscular: 1 gramo cada 24 horas, se recomiendan 3 dosis en total. Ocasionalmente y dependiendo de la gravedad del caso y la respuesta del paciente se pueden administrar dosis adicionales. Vía tópica: aplicar 3 o 4 veces al día sobre el área dolorida acompañado de suave masaje.","Síntomas leves en el sitio de la aplicación, tales como dolor, endurecimiento, eritema, inflamación hematoma y ardor. En casos raros pueden presentarse cefalea, vértigo, náusea, vómito, mareo, cansancio, alteraciones visuales, disuria, exantema, rash, edema alérgico y epigastralgia, o alteraciones de la digestión, los que desaparecen cuando cesa la acción del medicamento. Son posibles reacciones de hipersensibilidad generalizada, manifestadas por edema facial, inflamación de la lengua y laríngea con broncoconstricción y disnea que puede llegar a ataque de asma, taquicardia con caída de la presión arterial y hasta estado de shock. El etofenamato puede disminuir la capacidad de reacción psicomotora, de tal manera que la capacidad para operar máquinas se afecte momentáneamente; esto es más probable si se han ingerido bebidas alcohólicas en forma concomitante.","Historia de exacerbación de asma bronquial, urticaria o rinitis con la administración de antiinflamatorios no esteroides, incluyendo ácido acetilsalicílico. La administración de etofenamato en pacientes con porfiria hepática deberá restringirse a los casos en que, a criterio del médico tratante, los beneficios excedan el riesgo potencial de la exacerbación de ésta. Se requiere de monitoreo especial para pacientes con antecedentes de patologías inflamatorias intestinales (colitis ulcerosa, enfermedad de Crohn), en pacientes con hipertensión arterial, después de cirugía mayor y en pacientes adultos mayores. Los pacientes con asma, enfermedad pulmonar obstructiva crónica, rinitis alérgica, o inflamación crónica de la mucosa nasal (pólipos), reaccionan más frecuentemente a los antiinflamatorios no esteroides que otros pacientes con episodios de asma, inflamaciones cutánea o de las membranas mucosas (edema de Quincke) o aquellos con rash cutáneo. Embarazo, lactancia, menores: no se recomienda la administración durante el embarazo. Se ha demostrado el paso de pequeñas cantidades de metabolitos del etofenamato a la leche humana. Por lo tanto, no se recomienda el uso de etofenamato durante la lactancia. No hay ensayos específicos en niños menores de 14 años, se recomienda evitar su administración si es posible. Carcinogénesis, mutagénesis, teratogénesis y fertilidad: los estudios efectuados en animales no han demostrado efectos de carcinogénesis, teratogénesis o mutagénesis. No se han desarrollado estudios controlados a largo plazo en seres humanos para determinar los efectos del etofenamato sobre la fertilidad. No aplicar sobre piel irritada, excoriada o eccematosa. Evítese el contacto con las mucosas y con los ojos.","Se recomienda precaución en pacientes que ingieren simultáneamente digoxina, fenitoína, litio o antidiabéticos orales, ya que el etofenamato puede elevar el nivel plasmático de éstos y aumentar su efecto. La administración simultánea de corticosteroides u otros antirreumáticos no esteroides puede promover la aparición de efectos gastrointestinales. La administración simultánea de probenecid y de sulfinpirazona conlleva a una excreción más lenta del etofenamato. El etofenamato puede reducir la acción de varios diuréticos (furosemida o tiazídicos) y de antihipertensivos betabloqueadores. Debido a su alta afinidad a proteínas, puede interactuar con anticoagulantes orales. La administración simultánea de alcohol puede aumentar el riesgo de sangrado gastrointestinal. Como otros antiinflamatorios no esteroides, el etofenamato puede ser causa de enfermedad ácido-péptica, con o sin historia previa de ésta. Existe el riesgo, aunque muy bajo, de reacciones alérgicas, con o sin exposición previa al fármaco. Alteraciones de pruebas de laboratorio: no se han reportado a la fecha.","Hipersensibilidad al etofenamato, aspirina, ácido flufenámico u otros antiinflamatorios no esteroides. Coagulopatías-hemopatías, tratamiento con anticoagulantes o antiagregantes plaquetarios. Ulcera gástrica o duodenal. Insuficiencia renal, hepática o cardíaca.","La sobredosis de AINE puede producir síntomas gastrointestinales tales como náuseas, vómitos, meteorismo, dolor abdominal, tenesmo, diarrea y sangrado, y a altas dosis en el SNC síntomas tales como cefalea, insomnio, cansancio, mareo, alteraciones visuales, inquietud y confusión. No se ha reportado ningún caso de sobredosificación o ingesta accidental o voluntaria de etofenamato. En caso de ingesta accidental provocar el vómito y dar carbón activado. No se conoce algún antídoto específico para el etofenamato.",FLOGOL
Tretinoína,https://ar.prvademecum.com/principio-activo/tretino%C3%ADna-1445/,Antiacneico. Antineoplásico.,"La tretinoína (vitamina A ácida o ácido retinoico) es un efectivo antiacneico y antipsoriásico que actúa sobre el receptor nuclear en las células blanco, para estimular la mitosis y renovación de las células epidérmicas. Esto daría lugar a la formación de una capa córnea menos adherente, que facilita la eliminación de los comedones existentes y dificulta su aparición. También se ha sugerido que la renovación del epitelio folicular impide la formación de tapones de queratina en los folículos. La tretinoína parece ser la forma activa de la vitamina A en todos los tejidos excepto la retina, y es 10 a 100 veces más potente que el retinol en varios sistemas in vitro. Su forma tópica, conocida como vitamina A ácida o ácido retinoico, es de primera elección para el tratamiento del acné y del fotoenvejecimiento cutáneo. La vida media de la tretinoína luego de una dosis IV única es de 40 minutos; no se acumula en los tejidos y en el hígado es biotransformado en varios isómeros del ácido retinoico. Existe cierto grado de absorción en el nivel epidérmico (el 5% de la dosis tópica de tretinoína se recupera en la orina). Como agente antineoplásico se administra por vía oral. El mecanismo de acción podría estar mediado por la unión a receptores nucleares para el ácido retinoico, conocidos como RAR y RXR, con lo que formaría un complejo capaz de interactuar con el DNA y modular la expresión genética. Esta propiedad se ha demostrado que es importante en el control de algunas líneas de células tumorales, en especial las de la leucemia promielocítica aguda, sobre las cuales la exposición a tretinoína induce la diferenciación, inhibe la proliferación y reduce el potencial angiogénico.","Tratamiento tópico del acné vulgar, en especial en los grados I, II y III, en los que predominan los comedones, las pápulas y las pústulas. No suele ser eficaz en las variedades pustulosa y noduloquística profunda severas (acné conglobata). Ictiosis lamelar, fotoenvejecimiento cutáneo, queratosis folicular, psoriasis y liquen plano. Oncología: inducción de la remisión de la leucemia promielocítica aguda (AML M3 en la clasificación anglofrancesa-estadounidense), en pacientes que no han recibido previamente antraciclinas o son refractarios a ellas, o en las recidivas luego de la quimioterapia.","Las formas tópicas (crema, gel, solución) al 0,01%, 0,025%, 0,05%, y 0,1% se aplican una vez al día, preferentemente por la noche antes de acostarse. Oncológico: en pacientes con leucemia promielocítica aguda se recomienda una dosis total de 45mg/m2 de superficie corporal, dividida en dos tomas, por vía oral. El tratamiento continúa por 30-90 días, hasta lograr la remisión completa, momento en que se iniciará de inmediato un curso de quimioterapia de consolidación.","El tratamiento tópico puede verse asociado con el síndrome de hipervitaminosis A. Hiperpigmentación o hipopigmentación reversibles, que pueden persistir varios meses tras la suspensión del tratamiento. Ampollas, costras, escozor, enrojecimiento severo, hinchazón de la piel. Todos estos efectos requieren atención médica. También puede aparecer sensación de calor, prurito leve y enrojecimiento, también leve, de la piel; puede producirse descamación a los pocos días de uso. Tras la administración oral en la leucemia promielocítica aguda, 25% de los pacientes sufren el síndrome del ácido retinoico, caracterizado por fiebre, disnea, insuficiencia respiratoria, distrés respiratorio agudo, infiltraciones pulmonares, leucocitosis, hipotensión, derrame pleural, disfunción renal, hepática y multiorgánica, que de no recibir el tratamiento adecuado (curso corto de tres días de administración de dosis elevadas de corticosteroides) puede ser mortal.","Durante su utilización debe reducirse la exposición a la luz solar o usar pantallas solares. Las cremas a base de tretinoína deben aplicarse lejos de los ojos, la boca, los ángulos de la nariz y las membranas mucosas en general. Es posible observar un empeoramiento del acné durante las dos o tres primeras semanas de uso, pero no debe interrumpirse la medicación a menos que la irritación sea severa. No lavar la cara con demasiada frecuencia. El ácido retinoico no afecta la fertilidad en animales pero aumenta la reabsorción fetal, la incidencia de abortos espontáneos y anormalidades fetales en el sistema nervioso central, oídos externos, timo, ojos, sistema musculoesquelético y en los grandes vasos sanguíneos. Se desconoce si el ácido retinoico se excreta por leche materna, por ello se aconseja no administrar a mujeres durante el período de lactancia, ni en niños menores de 1 año puesto que no se realizaron estudios sobre su seguridad y eficacia. Se recomienda administrar con precaución a niños mayores de 1 año debido a la alta incidencia de efectos adversos como cefalea y aparición de seudotumores cerebrales.","No deben usarse otros exfoliantes en combinación con tretinoína, pero si se hubieran usado hay que dejar que pase su efecto. Medicamentos fotosensibilizantes; cosméticos con acción desecante fuerte; preparaciones antiacneicas que contengan peróxido de benzoílo, resorcinol, ácido salicílico o azufre. Las drogas inductoras del complejo enzimático P450 (glucocorticoides, pentobarbital, fenobarbital, rifampicina) pueden modificar la farmacocinética del ácido retinoico. De la misma manera, las drogas como el ketoconazol, cimetidina, ciclosporina, diltiazem, eritromicina y verapamilo que inhiben a las enzimas encargadas del metabolismo hepático del ácido retinoico modifican su farmacocinética.","Hipersensibilidad a esta droga u otros derivados retinoides y en aquellos que padezcan de leucocitosis. Las formas tópicas (gel, crema, solución) no deben aplicarse sobre la piel inflamada, eccematosa o con quemaduras de sol; tampoco debe utilizarse simultáneamente con otros tratamientos tópicos, en especial con otros agentes queratolíticos.","No se conocen casos de sobredosis. Los síntomas observados con otros derivados retinoides incluyen dolor abdominal, ataxia, debilidad y dolor de cabeza.",DORPIEL; HIDROSAM T; NEOTRETIN; TRELPA; VESANOID
