nombre_producto,url,nombre_laboratorio,descripcion,composicion,indicaciones,presentacion,principios_activos,patologias,error
102 VITAMINA C,https://ar.prvademecum.com/medicamento/102-vitamina-c-31059/,MILLET,Suplemento dietario. Comp. Rec. x 30.,,,,Ascórbico ácido; Cinc; Vitamina D3,Hipovitaminosis,
102 VITAMINA C SOBRES,https://ar.prvademecum.com/medicamento/102-vitamina-c-sobres-31058/,MILLET,Suplemento dietario. Sobres x 30.,,,,Ascórbico ácido; Cinc; Hierro; Magnesio; Riboflavina; Vitamina B12; Vitamina B6,,
3-TC/AZT ELEA,https://ar.prvademecum.com/medicamento/3-tc/azt-elea-12711/,ELEA,Antiviral contra HIV.,Cada comprimido recubierto contiene: lamivudina 150mg; zidovudina 300mg. Exc. cs.,Está indicado para el tratamiento de la infección por HIV.,Envase conteniendo 60 comprimidos recubiertos.,Lamivudina; Zidovudina,Sida; Virosis sistémicas,
3TC,https://ar.prvademecum.com/medicamento/3tc-8026/,GSK BIOPHARMA,Antivirales de uso sistémico y de acción directa. Nucleósidos y nucleótidos inhibidores de la transcriptasa reversa.,"Cada comprimido recubierto ranurado contiene: Lamivudina 150,00 mg, Celulosa microcristalina 138,75 mg, Glicolato de almidón sódico 9,00 mg, Estearato de magnesio 2,25 mg, Opadry® YS-1-7706-G Blanco 6,75 a 8,25 mg. Excipiente(s) con efecto conocido: Cada comprimido de 150 mg contiene 0,378 mg de sodio. Cada ml de solución oral contiene: Lamivudina 10,00 mg, Sacarosa 200,00 mg, Hidroxibenzoato de metilo 1,50 mg, Hidroxibenzoato de propilo 0,18 mg, Aroma de fresa artificial 0,80 mg, Aroma de plátano artificial 0,60 mg, Acido cítrico (anhidro) 1,00 mg, Citrato de sodio 11,00 mg, Propilenglicol 20,00 mg, NaOH/HCl c.s.p. pH= 6, Agua purificada c.s.p. 1,00 ml. Excipiente(s) con efecto conocido: Cada dosis de 15 ml contiene 3 g de sacarosa, Parahidroxibenzoato de metilo, Parahidroxibenzoato de propilo. Cada dosis de 15 ml contiene 300 mg de propilenglicol, Cada dosis de 15 ml contiene 39 mg de sodio.",3TC está indicado en terapia de combinación antirretroviral para el tratamiento de adultos y niños infectados por el Virus de la Inmunodeficiencia Humana (VIH).,3TC 150 mg comprimidos recubiertos ranurados: Envases por 60 comprimidos recubiertos ranurados. 3TC 10 mg/ml solución oral: Frascos por 240 ml.,Lamivudina,Sida; Virosis sistémicas,
3TC COMPLEX®,https://ar.prvademecum.com/medicamento/3tc-complex-9711/,GSK BIOPHARMA,Antiviral.,"Cada comprimido recubierto ranurado contiene: Zidovudina 300,00 mg Lamivudina 150,00 mg. Celulosa microcristalina 269,62 mg. Glicolato de almidón sódico 22,50 mg. Dióxido de silicio coloidal 2,25 mg. Estearato de magnesio 5,63 mg. Opadry blanco YS-1-7706-G 16,88 a 20,63 mg.",3TC COMPLEX® está indicado para el tratamiento de la infección por el virus de la Inmunodeficiencia Humana (VIH). La lamivudina en asociación con la zidovudina reduce la carga viral del VIH-1 y aumenta el recuento de células CD4+.,Envases conteniendo 60 comprimidos recubiertos ranurados.,Lamivudina; Zidovudina,Sida; Virosis sistémicas,
4 X 4,https://ar.prvademecum.com/medicamento/4-x-4-14907/,ISA,"Vasodilatador, inhibidor selectivo de la fosfodiesterasa tipo 5 (PDE5) guanosina monofosfato cíclica (cGMP) - específica.","Cada comprimido de 50 mg contiene: Sildenafil (como sildenafil citrato) 50,000 mg, Celulosa microcristalina 110,000 mg, Fosfato dibásico de calcio anhidro 60,000 mg, Lactosa 31,676 mg, Azul brillante laca alumínica 12,5% 0,084 mg, Croscarmelosa sódica 5,000 mg, Estearato de magnesio 3,000 mg.",Sildenafil está indicado para el tratamiento de la disfunción eréctil peneana.,Envase con 4 comprimidos de 50 mg.,Sildenafil,Impotencia sexual,
5 ASA 1000,https://ar.prvademecum.com/medicamento/5-asa-1000-26181/,DOMINGUEZ,Mesalazina. Antiinflamatorio intestinal. 1g Sobres x 30. 1000mg Sup. x 30.,,,,Mesalazina,Colitis ulcerosa; Diarreas,
5 ASA 2000,https://ar.prvademecum.com/medicamento/5-asa-2000-26182/,DOMINGUEZ,Mesalazina. Antiinflamatorio intestinal. 2g Sobres x 30.,,,,Mesalazina,Colitis ulcerosa; Diarreas,
5 ASA 400,https://ar.prvademecum.com/medicamento/5-asa-811/,DOMINGUEZ,Antiinflamatorio intestinal.,Cada comprimido de liberación retardada contiene: mesalazina 400mg. Cada supositorio contiene: mesalazina 400mg.,Comprimidos: tratamiento de la fase activa de la colitis ulcerosa leve a moderada y mantenimiento de la remisión. Supositorios: tratamiento de la sigmoiditis distal activa.,30 y 60 comp. 10 y 30 sup.,Mesalazina,Colitis ulcerosa; Diarreas,
5 ASA 4GR,https://ar.prvademecum.com/medicamento/5-asa-4gr-29069/,DOMINGUEZ,Mesalazina. Antiinflamatorio intestinal. 4g Sobres x 30.,,,,Mesalazina,Colitis ulcerosa; Diarreas,
5 ASA 500,https://ar.prvademecum.com/medicamento/5-asa-500-20031/,DOMINGUEZ,Antiinflamatorio intestinal.,Cada comprimido de liberación retardada contiene: mesalazina 500mg.,"Tratamiento de la fase activa de la colitis ulcerosa, enfermedad de Crohn y rectocolitis hemorrágica y mantenimiento de la remisión.",Envase conteniendo 30 y 60 comprimidos de liberación retardada.,Mesalazina,Colitis ulcerosa; Diarreas,
5 ASA 800,https://ar.prvademecum.com/medicamento/5-asa-800-20032/,DOMINGUEZ,Antiinflamatorio intestinal.,Cada comprimido de liberación retardada contiene: mesalazina 800mg.,"Tratamiento de la fase activa de la colitis ulcerosa, enfermedad de Crohn y rectocolitis hemorrágica y mantenimiento de la remisión.",Envase conteniendo 30 y 60 comprimidos de liberación retardada.,Mesalazina,Colitis ulcerosa; Diarreas,
5 FU,https://ar.prvademecum.com/medicamento/5-fu-30998/,CASSARA,Citostático.,"5-Fluorouracilo 5,0g%, Vaselina Sólida, Alcohol Estearílico, Propilenglicol, Metilparabeno, Propilparabeno, Hidróxido De Sodio, Polisorbato 60, Agua Purificada c.s.p. 100g.","5FU CASSARA se utiliza para el tratamiento de algunas lesiones de la piel denominadas queratosis actínica, queratoacantomas, enfermedad de Bowen y carcinoma superficial de células basales.",Ungüento: Envase conteniendo 20 g.,Fluorouracilo,Neoplasias epiteliales,
5 XR 1000,https://ar.prvademecum.com/medicamento/5-xr-1000-30192/,ARISTON,Mesalazina. Antiinflamatorio intestinal. 1000mg Comp. x 30. 1000mg Comp. x 60.,,,,Mesalazina,Colitis ulcerosa; Diarreas,
5 XR 500,https://ar.prvademecum.com/medicamento/5-xr-500-20716/,ARISTON,Antiinflamatorio intestinal.,Contiene: Mesalazina (Acido 5-amino-salicílico) 500 mg.,"Tratamiento de la fase activa de la colitis ulcerosa, enfermedad de Crohn y rectocolitis hemorrágica y mantenimiento de la remisión. Enfermedad Inflamatoria Intestinal (EII) localizada en el recto.",5XR 500: Envases conteniendo 50 y 100 comprimidos de liberación prolongada.,Mesalazina,Colitis ulcerosa; Diarreas,
8 HORAS,https://ar.prvademecum.com/medicamento/8-horas-18909/,ELEA,Hipnótico no benzodiazepínico.,8 HORAS 2 mg: cada comprimido recubierto contiene: eszopiclona 2 mg. Exc. cs. 8 HORAS 3 mg: cada comprimido recubierto contiene: eszopiclona 3 mg. Exc. cs.,"8 HORAS está indicado para el tratamiento del insomnio. En pacientes ambulatorios controlados y estudios de laboratorio de sueño, eszopiclona administrada a la hora de acostarse disminuyó la latencia de sueño y mejoró su mantenimiento.",8 HORAS 3 mg: envase conteniendo 30 comprimidos recubiertos. 8 HORAS 2 mg: envase conteniendo 10 y 30 comprimidos recubiertos.,Eszopiclona,Insomnio,
ABACAVIR ELEA,https://ar.prvademecum.com/medicamento/abacavir-elea-14643/,ELEA,"Antirretroviral específico activo frente al VIH, análogo nucleósido sintético.","Cada comprimido recubierto contiene: núcleo: ABACAVIR 300mg: glicolato de almidón sódico 40,00 mg; polivinilpirrolidona 24,00 mg; lactosa hidratada 376,60 mg; estearato de magnesio 8,00 mg. Cubierta: polietilenglicol 2,00 mg; hidroxipropilmetilcelulosa 12,80 mg; óxido de hierro amarillo 0,80 mg; dióxido de titanio 1,20 mg.",ABACAVIR está indicado para usar en combinación con otros antirretrovirales para el tratamiento de la infección por VIH1.,Envase conteniendo 60 comprimidos recubiertos.,Abacavir,Sida; Virosis sistémicas,
ABARAX,https://ar.prvademecum.com/medicamento/abarax-22826/,ELEA,Tratamiento de la Enfermedad de Chagas.,Cada comprimido birranurado de ABARAX® 50 mg contiene 50 mg de benznidazol. Exc. cs. Cada comprimido birranurado de ABARAX® 100 mg contiene 100 mg de benznidazol. Exc. cs.,Tratamiento de la enfermedad de Chagas-Mazza (Trypanosomiasis Americana) producida por la infección de Trypanosoma cruzi. Prevención en caso de reactivación de una infección por Trypanosoma cruzi en pacientes transplantados o con inmunosupresión.,Envases conteniendo: ABARAX 50 mg 100 comprimidos birranurados. ABARAX 100 mg 100 comprimidos birranurados.,Benznidazol,"Chagas, enfermedad de",
ABAXON,https://ar.prvademecum.com/medicamento/abaxon-29442/,ROEMMERS,"Agente antitrombótico, inhibidor directo del factor Xa de la coagulación.","Cada comprimido recubierto contiene Rivaroxaban 2,50 mg. Excipientes: Celulosa microcristalina 49,50 mg; Lactosa monohidrato 40,10 mg; Croscarmelosa sódica 3,00 mg; Hidroxipropilmetilcelulosa 3,50 mg; Lauril sulfato de sodio 0,40 mg; Estearato de magnesio 1,00 mg; Alcohol polivinílico 1,98 mg; Dióxido de titanio 1,24 mg; Talco 0,73 mg; Polietilenglicol 3000 1,00 mg; Óxido de hierro amarillo (CI No 77492) 0,05 mg.","Abaxon 2,5 está indicado para la prevención de acontecimientos aterotrombóticos en pacientes adultos, tras un síndrome coronario agudo con biomarcadores cardíacos elevados, en combinación con ácido acetilsalicílico (AAS) solo o con AAS más clopidogrel o ticlopidina.","Abaxon 2,5 Comprimidos recubiertos: Envase conteniendo 30 comprimidos recubiertos. Comprimidos redondos, color amarillo claro, codificados Rv en una cara y 2,5 en la otra. Otras presentaciones Abaxon 10 Comprimidos recubiertos: Envase conteniendo 30 comprimidos recubiertos. Abaxon 15 Comprimidos recubiertos: Envase conteniendo 30 comprimidos recubiertos. Abaxon 20 Comprimidos recubiertos: Envase conteniendo 30 comprimidos recubiertos.",Rivaroxabán,Tromboembolismo y trombosis,
ABIRANOVA,https://ar.prvademecum.com/medicamento/abiranova-25341/,ELEA,"Tratamiento endócrino, antagonistas de hormonas y agentes relacionados.","Cada comprimido contiene: Abiraterona acetato 250,00 mg, Celulosa microcristalina 141,22 mg, Lactosa monohidrato 198,65 mg, Croscarmelosa sódica 42,90 mg, Povidona 35,75 mg, Lauril sulfato de sodio 28,60 mg, Dióxido de silicio coloidal 7,15 mg, Estearato de magnesio 10,73 mg.",ABIRANOVA en combinación con Prednisona o Prednisolona está indicado para: El tratamiento en hombres adultos del cáncer de próstata hormonosensible metastásico de nuevo diagnóstico de alto riesgo (CPHSm) en combinación con tratamiento de deprivación de andrógenos (TDA). El tratamiento del cáncer de próstata metastásico resistente a la castración (CPRCm) en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aún clínicamente indicada. El tratamiento del CPRCm en hombres adultos cuya enfermedad ha progresado durante o tras un régimen de quimioterapia basado en docetaxel.,Estuche conteniendo 120 comprimidos.,Abiraterona,"Próstata, carcinoma",
ABIRATERON-A,https://ar.prvademecum.com/medicamento/abirateron-a-28096/,LAFEDAR,Antineoplásico.,Cada comprimido contiene: Abiraterona 250 mg.,Abirateron-A esta indicado con prednisona o prednisolona para: El tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos que sean asintomáticos o levemente sintomáticos tras el fracaso del tratamiento de deprivación de andrógenos en los cuales la quimioterapia no está aun clínicamente indicada. El tratamiento del cáncer de próstata metastásico resistente a la castración en hombres adultos cuya enfermedad ha progresado durante o tras un régimen de quimioterapia basado en docetaxel.,"Envases conteniendo 120, 500 (EH) y 1000 (EH) comprimidos.",Abiraterona,"Próstata, carcinoma",
ABIRATERONA GLENMARK,https://ar.prvademecum.com/medicamento/abiraterona-glenmark-28957/,GLENMARK,Abiraterona. Antineoplásico. 250mg Comp. x 120.,,,,Abiraterona,"Próstata, carcinoma",
ABLOOM,https://ar.prvademecum.com/medicamento/abloom-18068/,DUNCAN,Amlodipina. Antihipertensivo. Antianginoso. 10mg Comp. x 30.,,,,Amlodipina,Cardiopatía isquémica; Hipertensión arterial,
ABRAXANE,https://ar.prvademecum.com/medicamento/abraxane-23861/,BRISTOL-M.S.,Agente antineoplásico.,Contiene: Paclitaxel 100 mg (unido a Albúmina Humana).,"Abraxane es un medicamento para el cáncer extendido de ventas bajo receta archivada usado para: cáncer de mama avanzado en personas que ya han recibido otros medicamentos para el cáncer. Cáncer de pulmón no microcítico avanzado, en combinación con carboplatino en personas que no pueden ser tratadas con cirugía o radiación. Cáncer pancreático avanzado, cuando se utiliza en combinación con gemcitabina como el primer medicamento para el cáncer pancreático avanzado. Se desconoce si es seguro o efectivo en niños.",Envase conteniendo 1 vial.,Paclitaxel; Albúmina humana,Cáncer,
ABRIKAT,https://ar.prvademecum.com/medicamento/abrikat-30810/,ECZANE,Acalabrutinib. Antineoplásico. 100mg Caps. x 60.,,,,Acalabrutinib,Cáncer,
ABRILADA,https://ar.prvademecum.com/medicamento/abrilada-29018/,PFIZER,Adalimumab. Inhib. del factor de necrosis tumoral. 40mg /0.8ml Lap. Prell x 2 + 2 toallitas.,,,,Adalimumab,Artritis reumatoidea,
ABRYSVO,https://ar.prvademecum.com/medicamento/abrysvo-30234/,PFIZER,Vacuna contra virus sincicial respiratorio. Vacuna bivalente c/virus sincicial respirat.. 120mcg Vial x 1 +1 jer.prel.,,,,Vacuna contra virus sincicial respiratorio,Infecciones respiratorias; Inmunización,
ACALANIB,https://ar.prvademecum.com/medicamento/acalanib-31776/,ELEA,Acalabrutinib. Antineoplásico. 100mg Caps. x 60.,,,,Acalabrutinib,Cáncer,
ACALIX,https://ar.prvademecum.com/medicamento/acalix-11/,ROEMMERS,Antihipertensivo. Antianginoso.,"Cada frasco ampolla con liofilizado contiene: diltiazem 25mg, excipientes cs. Cada ampolla de disolvente contiene: agua destilada esterilizada 5ml.","ACALIX Inyectable es un antagonista del calcio destinado al tratamiento de crisis de angor pectoris, espasmo coronario; taquicardia paroxística supraventricular, aleteo y fibrilación auricular con conducción rápida (excepto en el síndrome de WPW); prevención y tratamiento del espasmo coronario y de la isquemia durante la coronariografía, la angioplastia transluminal o la cirugía de by-pass; crisis hipertensiva o hipertensión grave que requiera terapéutica inmediata.",Env. con 1 frasco amp. liof. de 25mg y amp.disolv.,Diltiazem,Arritmias cardíacas; Cardiopatía isquémica; Hipertensión arterial,
ACALIX A.P.,https://ar.prvademecum.com/medicamento/acalix-a-p--12/,ROEMMERS,Antianginoso.,Cada cápsula contiene: diltiazem 120mg.,Destinado al tratamiento de la insuficiencia coronaria aguda o crónica y la hipertensión arterial.,Env. con 30 cáps. de 120mg.,Diltiazem,Arritmias cardíacas; Cardiopatía isquémica; Hipertensión arterial,
ACALIX CRONOS,https://ar.prvademecum.com/medicamento/acalix-cronos-17632/,ROEMMERS,Antihipertensivo. Vasodilatador coronario y vasodilatador sistémico.,ACALIX CRONOS 180 Cápsulas: cada cápsula contiene diltiazem clorhidrato 180mg. Excipientes: almidón de maíz; azúcar; povidona; etilcelulosa; triglicéridos de cadena media; copolímero de amonio metacrilato tipo B; talco. ACALIX CRONOS 240 Cápsulas: cada cápsula contiene diltiazem clorhidrato 240mg. Excipientes: almidón de maíz; azúcar; povidona; etilcelulosa; triglicéridos de cadena media; copolímero de amonio metacrilato tipo B; talco. ACALIX CRONOS 300 Cápsulas: cada cápsula contiene diltiazem clorhidrato 300mg. Excipientes: almidón de maíz; azúcar; povidona; etilcelulosa; triglicéridos de cadena media; copolímero de amonio metacrilato tipo B; talco.,Hipertensión arterial. Angina estable crónica. En la hipertensión arterial se puede usar solo o asociado con otras medicaciones antihipertensivas.,ACALIX CRONOS 180 Cápsulas: envase con 30 cápsulas. ACALIX CRONOS 240 Cápsulas: envase con 30 cápsulas. ACALIX CRONOS 300 Cápsulas: envase con 30 cápsulas.,Diltiazem,Arritmias cardíacas; Cardiopatía isquémica; Hipertensión arterial,
ACANTEX®,https://ar.prvademecum.com/medicamento/acantex-23304/,SIEGFRIED,"Antibiótico de amplio espectro y acción prolongada, para uso parenteral, particularmente activo frente a una gran variedad de microorganismos Gram-positivos, Gram-negativos y otros gérmenes patógenos.","Cada frasco-ampolla contiene: Ceftriaxona. La ampolla de solvente para inyección intramuscular contiene: Clorhidrato de Lidocaína al 1% y la ampolla para inyección intravenosa, Agua para Inyectable.","Acantex está indicado para el tratamiento de las infecciones ocasionadas por gérmenes sensibles a la ceftriaxona. Infecciones del aparato respiratorio, infecciones abdominales, infecciones renales y de las vías urinarias; infecciones de los órganos genitales, inclusive gonorrea; septicemia; infecciones de los huesos, de las articulaciones, de los tejidos blandos, de la piel y heridas; infecciones en pacientes con defensas inmunitarias disminuidas; meningitis; enfermedad de Lyme diseminada (estadios II y III); profilaxis perioperatoria de las infecciones en caso de intervenciones del tracto gastrointestinal, vías biliares, aparato genitourinario, pero únicamente en caso de contaminación potencial o manifiesta.","Envases para inyección intramuscular: Frasco-ampolla con 500 mg + 1 ampolla de solvente (2 ml) de solución de clorhidrato de lidocaína al 1%, envase con 1. Frasco-ampolla con 1 g + 1 ampolla de solvente (3.5 ml) de solución de clorhidrato de lidocaína al 1%, envase con 1. Envases para inyección intravenosa: 1 frasco-ampolla con 1 g + 1 ampolla de 10 ml de agua para inyectable. Envase para inyección intravenosa (para perfusión): 1 Frasco-ampolla con 2 g, envase con 1.",Ceftriaxona,Gonorrea - Uretritis inespecíficas; Infecciones bacterianas sistémicas,
ACCU-CHEK ACTIVE GLUCOSA,https://ar.prvademecum.com/medicamento/accu-chek-active-glucosa-13353/,ROCHE,Diagnóstico. Tiras Reactivas x 25 NP. Tiras Reactivas x 50 NP.,,,,,Diagnóstico,
ACCU-CHEK ACTIVE KIT,https://ar.prvademecum.com/medicamento/accu-chek-active-kit-13352/,ROCHE,Diagnóstico. Kit MG/dL NP.,,,,,Diagnóstico,
ACCU-CHEK FASTCLIX,https://ar.prvademecum.com/medicamento/accu-chek-fastclix-24377/,ROCHE,Control de glucosa. Lanc. x 24. Lanc. x 24. Lanc. x 102.,,,,,Diagnóstico,
ACCU-CHEK FASTCLIX KIT,https://ar.prvademecum.com/medicamento/accu-chek-fastclix-kit-24376/,ROCHE,Control de glucosa. Punzador x 1 NP.,,,,,Diagnóstico,
ACCU-CHEK GUIDE,https://ar.prvademecum.com/medicamento/accu-chek-guide-26553/,ROCHE,Medidor de glucosa. Control x 1. Kit x 1. Test Strip Tiras x 25. Test Strip Tiras x 50.,,,,,Diagnóstico,
ACCU-CHEK PERFORMA,https://ar.prvademecum.com/medicamento/accu-chek-performa-19006/,ROCHE,Medidor de glucosa. Tiras Reactivas x 25. Tiras Reactivas x 50.,,,,,Diagnóstico,
ACCU-CHEK PERFORMA CONTROL,https://ar.prvademecum.com/medicamento/accu-chek-performa-control-19007/,ROCHE,Medidor de glucosa. Sol. Control.,,,,,Diagnóstico,
ACCU-CHEK SMARTGUIDE,https://ar.prvademecum.com/medicamento/accu-chek-smartguide-31628/,ROCHE,Sistema de monitoreo continuo de glucosa. Env. x 1.,,,,,,
ACCU-CHEK SOFTCLIX,https://ar.prvademecum.com/medicamento/accu-chek-softclix-13694/,ROCHE,Diagnóstico. Punzador x 1.,,,,,Diagnóstico,
ACCU-CHEK SOFTCLIX NEW LANCETS,https://ar.prvademecum.com/medicamento/accu-chek-softclix-new-lancets-13193/,ROCHE,Diagnóstico. Lanc. x 25. Lanc. x 200.,,,,,Diagnóstico,
ACEITE DE ALMENDRAS EWE,https://ar.prvademecum.com/medicamento/aceite-almendras-ewe-15/,SANITAS,Aceite de almendras. Lubricante. Emoliente. Suavizante. Humectante de la piel. Fco. x 30cc. Fco. x 50cc. Fco. Got. x 30ml.,,,,Aceite de almendras,"Dermatitis seborreica; Piel, protectores",
ACEITE DE ARGAN EWE,https://ar.prvademecum.com/medicamento/aceite-argan-ewe-27093/,SANITAS,Cosmético. Aceite Fco. x 50ml.,,,,Aceite de almendras; Aceite de argán; Alfa tocoferol,"Piel, protectores",
ACEITE DE JOJOBA EWE,https://ar.prvademecum.com/medicamento/aceite-jojoba-ewe-29176/,SANITAS,Aceite de jojoba. Dermatocosmético. Aceite Fco. Gotas x 30ml.,,,,Aceite de jojoba,,
ACEITE DE LAVANDA EWE,https://ar.prvademecum.com/medicamento/aceite-lavanda-ewe-29126/,SANITAS,Aceite de lavanda. Dermatocosmético. Aceite Fco. x 8ml.,,,,Aceite de lavanda,,
ACEITE DE RICINO EWE,https://ar.prvademecum.com/medicamento/aceite-ricino-ewe-16/,SANITAS,Aceite de ricino. Laxante. Fco. x 30cc. Fco. x 50cc.,,,,Aceite de ricino,Constipación,
ACEITE DE TEA TREE OIL EWE,https://ar.prvademecum.com/medicamento/aceite-tea-tree-oil-ewe-26868/,SANITAS,Tea tree. Cosmético. Fco. x 20ml.,,,,Tea tree,"Piel, protectores",
ACEMUK,https://ar.prvademecum.com/medicamento/acemuk-9572/,SIEGFRIED,Mucolítico de las vías respiratorias.,Acemuk 200: Cada comprimido efervescente contiene: N-Acetilcisteína 200 mg. Acemuk 600: Cada comprimido efervescente contiene: N-Acetilcisteína 600 mg. Acemuk Jarabe: Cada frasco contiene: 40 g de granulado para preparar 100 ml de jarabe: N-Acetilcisteína 2g/100 ml. Excipientes c.s.,"Para el tratamiento de todas las enfermedades de las vías respiratorias que presentan una alta secreción mucosa. La N-Acetilcisteína es usada como mucolítico en el tratamiento complementario de las secreciones mucosas patológicas además de las afecciones broncopulmonares agudas y crónicas siguientes: neumonía, bronquitis, bronquitis crónica asmatiforme, enfisema, traqueo-bronquitis, tuberculosis, dilatación de los bronquios, amiloidosis pulmonar primaria, complicaciones pulmonares en la mucoviscidosis y en las etapas posteriores a las intervenciones torácicas y cardiovasculares, tratamientos post-traumáticos, exámenes pulmonares de diagnóstico, traqueotomías. En todas las afecciones asociadas a una secreción mucopurulenta intensa: sinusitis, faringitis, laringitis, otitis media secretante y pacientes laringostomizados.","Acemuk 200: Envase conteniendo 10 comprimidos efervescentes. Acemuk 600: Envases conteniendo 10, 20 y 60 comprimidos efervescentes. Acemuk Jarabe: Envase conteniendo 40 g de granulado para preparar 100 ml de jarabe de N-Acetilcisteína al 2%.",Acetilcisteína,Bronquitis,
ACEMUK 200,https://ar.prvademecum.com/medicamento/acemuk-200-31153/,SIEGFRIED,Acetilcisteína. Mucolítico. Efer. 200mg Tab. x 10.,,,,Acetilcisteína,Bronquitis,
ACEMUK BIOTIC,https://ar.prvademecum.com/medicamento/acemuk-biotic-17654/,SIEGFRIED,Amoxicilina. Acetilcisteína. Antibiótico. Mucolítico. 500mg /200mg Sobres x 21.,,,,Amoxicilina; Acetilcisteína,Bronquitis; Infecciones respiratorias,
